fullpath,lhEuler,rhEuler,lhVtx1,rhVtx1,lhVtx1,rhVtx1,Include
sub-12,-46,-39,145624,145272,142117,142163,1
sub-14,-26,-21,153961,157714,152519,155754,1
sub-17,-44,-25,136582,138611,134218,136739,1
sub-18,-18,-23,171378,174811,169581,171767,1
sub-19,-29,-22,142618,142748,141615,141796,1
sub-11,-18,-13,149552,149436,146571,146813,1
sub-11,-18,-14,161126,162512,158612,161734,1
sub-12,-22,-23,151161,151491,148523,149147,1
sub-13,-33,-28,154218,157141,152188,154948,1
sub-14,-21,-19,144324,143688,143531,142629,1
sub-15,-21,-13,147811,146916,145924,144974,1
sub-16,-17,-17,135256,134411,133996,133474,1
sub-17,-14,-17,142656,145176,141123,144116,1
sub-18,-21,-12,146198,148576,144564,147361,1
sub-19,-15,-18,117331,118321,116527,117133,1
sub-21,-16,-17,142728,141414,141833,141351,1
sub-21,-21,-26,139616,145654,138337,144132,1
sub-22,-23,-11,161738,162811,158197,161441,1
sub-26,-9,-15,132322,131684,131965,131668,1