fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include,
c002,-57,-50,144302,144756,141574,142558,1,
c006,-54,-47,168362,165962,165139,163329,1,
c007,-66,-62,143196,141676,140070,138167,1,
c010,-47,-30,124174,127082,121219,125476,1,
c013,-61,-48,133896,136020,130442,133619,1,
c014,-56,-55,141758,143898,139267,141293,1,
c015,-38,-58,150184,151468,147532,148639,1,
c016,-51,-45,155786,155224,153492,152789,1,
c017,-78,-84,141912,139228,133573,135863,1,
c018,-63,-58,144450,144194,140529,140710,1,
c021,-59,-56,141130,141770,137216,137905,1,
c024,-41,-34,146948,150552,144813,148514,1,
c025,-48,-38,150748,149656,147596,147000,1,
c026,-67,-72,147816,145528,144365,142496,1,
c027,-74,-67,168504,168204,165489,165312,1,
c028,-55,-60,160478,161412,158007,157388,1,
c030,-46,-35,125774,125548,123864,123743,2,Has cavum septum
c031,-64,-62,184170,182816,180143,179858,1,
c032,-45,-37,165218,163782,157478,156467,1,
c033,-58,-45,141088,147924,137737,138429,1,
c036,-37,-24,120368,120808,118112,118617,1,
c037,-53,-31,143822,140094,141487,138574,1,
c039,-73,-57,156586,154812,153095,151026,1,
c045,-51,-62,128826,126554,122554,120463,1,
c046,-123,-130,157456,159026,152054,153794,1,
c048,-95,-77,160646,152328,150937,148707,1,
c049,-48,-48,132196,132144,129971,130163,1,
c050,-26,-16,129228,130792,127519,129513,1,
c051,-41,-54,137054,136652,133235,134303,1,
c052,-46,-52,139978,140534,137559,138160,1,
c057,-84,-65,161078,161934,156633,158203,1,
c058,-50,-46,135328,135672,133155,132939,1,
c060,-75,-69,159096,153212,149005,148904,1,
c062,-97,-91,157984,154058,154290,150245,1,
c064,-75,-49,141706,143460,137723,140125,1,
c065,-89,-71,150914,155752,146407,152872,1,
c067,-50,-57,153594,151874,150957,148453,1,
c070,-62,-65,140716,142088,136581,137758,1,
c072,-38,-42,151396,150890,149205,148211,1,
c073,-35,-67,156208,158206,148193,148016,1,
c074,-54,-69,132938,137062,129916,133795,1,
c075,-44,-50,137226,139236,133892,137524,1,
c076,-75,-71,150076,154974,145991,149685,1,
c077,-72,-49,154606,164660,152307,151548,1,
c078,-71,-69,144436,145224,141191,141883,1,
c079,-53,-51,132422,130644,129703,128749,1,
c082,-85,-80,151260,154646,145550,150100,1,
c084,-79,-85,159460,161402,154764,156931,1,
c085,-86,-64,176864,178978,173550,175547,1,
c086,-42,-43,139772,133144,132354,131008,1,
c087,-41,-31,124228,123544,122083,121487,1,