fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-1,-30,-21,152624,152110,151956,151359,1
sub-10,-30,-41,169434,165574,168633,164057,1
sub-11,-30,-17,132512,131928,131146,131016,1
sub-12,-40,-38,164172,165686,162306,164053,1
sub-13,-33,-22,138616,138684,136894,137559,1
sub-14,-58,-64,161616,164902,159807,163022,1
sub-15,-16,-25,156910,155742,155797,154164,1
sub-17,-29,-44,177558,180314,176574,177103,1
sub-19,-31,-40,159106,158588,157928,156976,1
sub-2,-19,-16,136768,134886,135936,133448,1
sub-21,-39,-30,147424,145212,145131,143697,1
sub-22,-26,-23,154488,148860,153656,147714,3
sub-23,-51,-48,169782,170370,167819,167799,3
sub-24,-59,-53,153322,155442,151496,153735,1
sub-25,-24,-25,131862,130292,131085,129429,1
sub-26,-27,-23,151384,153178,149793,152308,1
sub-27,-48,-42,140334,142966,138180,140590,1
sub-28,-17,-27,142040,142294,141318,141218,1
sub-29,-19,-19,154376,156936,153436,156155,1
sub-3,-31,-35,162572,163794,161009,162144,1
sub-30,-30,-24,166160,167796,164451,165892,1
sub-31,-80,-75,167122,166062,164035,163700,1
sub-32,-21,-19,132974,133544,132326,132510,1
sub-35,-24,-25,139002,135362,137734,133594,1
sub-36,-29,-18,139496,136716,137697,136101,1
sub-37,-25,-27,140980,140182,139862,139328,1
sub-38,-48,-43,155540,155998,153260,154203,1
sub-39,-33,-22,159058,156978,157292,155951,1
sub-4,-22,-20,163150,164122,162258,163429,1
sub-40,-31,-27,160770,158662,159177,157291,1
sub-41,-21,-28,153520,152110,151338,150483,1
sub-42,-34,-29,161734,160134,160606,158913,1
sub-43,-37,-30,170484,169888,168166,168501,1
sub-44,-40,-55,144538,148260,143054,145515,1
sub-45,-42,-42,144888,146496,142751,143841,1
sub-46,-22,-19,129910,132018,129035,130938,3
sub-47,-28,-25,136772,134248,135774,132931,3
sub-48,-30,-19,151688,151964,150508,151052,3
sub-49,-28,-39,151376,151362,149364,149615,1
sub-5,-30,-20,140238,138668,138648,137869,1
sub-50,-30,-28,153348,155060,152066,153871,1
sub-51,-38,-36,177970,179596,176283,178079,1
sub-52,-24,-30,157460,160308,156020,158331,1
sub-53,-32,-34,139564,140094,137461,138410,1
sub-54,-28,-26,155774,155280,154191,153640,1
sub-55,-43,-42,127838,128378,126049,126944,1
sub-56,-30,-36,154316,155732,153054,154428,1
sub-57,-14,-17,134392,132268,133658,131141,1
sub-6,-22,-26,161036,163192,159975,162132,1
sub-60,-37,-32,153866,156350,152027,154591,1
sub-61,-19,-14,146348,145060,145549,144115,1
sub-62,-26,-20,154248,153102,153040,152258,1
sub-63,-56,-65,174982,174780,172167,171328,1
sub-64,-34,-27,156898,158932,155550,157950,1
sub-65,-51,-58,151352,153238,148764,150707,1
sub-66,-44,-58,153294,153886,151042,151443,1
sub-67,-16,-22,139780,139168,138288,138117,1
sub-68,-57,-54,183672,183220,181411,180587,1
sub-69,-20,-23,132812,132466,131765,131201,1
sub-7,-17,-21,135084,134252,134340,133156,1
sub-70,-49,-44,141172,142982,139210,141184,1
sub-71,-46,-45,158730,161746,157005,160110,1
sub-72,-42,-23,145358,149304,143873,147830,1
sub-73,-34,-35,183956,185850,182239,184189,1
sub-74,-19,-28,140274,139462,139741,138116,1
sub-76,-71,-75,134794,134396,130847,131078,1
sub-77,-30,-25,128226,129930,126790,128062,1
sub-79,-23,-23,132126,131754,130703,130435,1
sub-8,-30,-30,136662,136982,135742,135956,1
sub-81,-64,-56,146798,146688,143979,144290,1
sub-83,-30,-22,127580,127808,126563,127037,1
sub-84,-33,-21,142732,143306,141474,142205,1
sub-85,-24,-20,143396,143450,142274,142219,1
sub-86,-46,-34,162648,165406,160572,163875,1
sub-9,-46,-13,137710,137660,136251,136820,1