HDIrank,COUNTRY,GI2019,GIrank2019,
1,Norway,0.045,6,
2,Ireland,0.093,23,
2,Switzerland,0.025,1,
4,"Hong Kong, China (SAR)",..,..,
4,Iceland,0.058,9,
6,Germany,0.084,20,
7,Sweden,0.039,3,
8,Australia,0.097,25,
8,Netherlands,0.043,4,
10,Denmark,0.038,2,
11,Finland,0.047,7,
11,Singapore,0.065,12,
13,United Kingdom,0.118,31,
14,Belgium,0.043,4,
14,New Zealand,0.123,33,
16,Canada,0.080,19,
17,United States,0.204,46,
18,Austria,0.069,14,
19,Israel,0.109,26,
19,Japan,0.094,24,
19,Liechtenstein,..,..,
22,Slovenia,0.063,10,
23,Korea (Republic of),0.064,11,
23,Luxembourg,0.065,12,
25,Spain,0.070,16,
26,France,0.049,8,
27,Czechia,0.136,36,
28,Malta,0.175,40,
29,Estonia,0.086,21,
29,Italy,0.069,14,
31,United Arab Emirates,0.079,18,
32,Greece,0.116,29,
33,Cyprus,0.086,21,
34,Lithuania,0.124,34,
35,Poland,0.115,28,
36,Andorra,..,..,
37,Latvia,0.176,41,
38,Portugal,0.075,17,
39,Slovakia,0.191,45,
40,Hungary,0.233,51,
40,Saudi Arabia,0.252,56,
42,Bahrain,0.212,49,
43,Chile,0.247,55,
43,Croatia,0.116,29,
45,Qatar,0.185,43,
46,Argentina,0.328,75,
47,Brunei Darussalam,0.255,60,
48,Montenegro,0.109,26,
49,Romania,0.276,61,
50,Palau,..,..,
51,Kazakhstan,0.190,44,
52,Russian Federation,0.225,50,
53,Belarus,0.118,31,
54,Turkey,0.306,68,
55,Uruguay,0.288,62,
56,Bulgaria,0.206,48,
57,Panama,0.407,94,
58,Bahamas,0.341,77,
58,Barbados,0.252,56,
60,Oman,0.306,68,
61,Georgia,0.331,76,
62,Costa Rica,0.288,62,
62,Malaysia,0.253,59,
64,Kuwait,0.242,53,
64,Serbia,0.132,35,
66,Mauritius,0.347,78,
67,Seychelles,..,..,
67,Trinidad and Tobago,0.323,73,
69,Albania,0.181,42,
70,Cuba,0.304,67,
70,Iran (Islamic Republic of),0.459,113,
72,Sri Lanka,0.401,90,
73,Bosnia and Herzegovina,0.149,38,
74,Grenada,..,..,
74,Mexico,0.322,71,
74,Saint Kitts and Nevis,..,..,
74,Ukraine,0.234,52,
78,Antigua and Barbuda,..,..,
79,Peru,0.395,87,
79,Thailand,0.359,80,
81,Armenia,0.245,54,
82,North Macedonia,0.143,37,
83,Colombia,0.428,101,
84,Brazil,0.408,95,
85,China,0.168,39,
86,Ecuador,0.384,86,
86,Saint Lucia,0.401,90,
88,Azerbaijan,0.323,73,
88,Dominican Republic,0.455,112,
90,Moldova (Republic of),0.204,46,
91,Algeria,0.429,103,
92,Lebanon,0.411,96,
93,Fiji,0.370,84,
94,Dominica,..,..,
95,Maldives,0.369,82,
95,Tunisia,0.296,65,
97,Saint Vincent and the Grenadines,..,..,
97,Suriname,0.436,105,
99,Mongolia,0.322,71,
100,Botswana,0.465,116,
101,Jamaica,0.396,88,
102,Jordan,0.450,109,
103,Paraguay,0.446,107,
104,Tonga,0.354,79,
105,Libya,0.252,56,
106,Uzbekistan,0.288,62,
107,Bolivia (Plurinational State of),0.417,98,
107,Indonesia,0.480,121,
107,Philippines,0.430,104,
110,Belize,0.415,97,
111,Samoa,0.360,81,
111,Turkmenistan,..,..,
113,Venezuela (Bolivarian Republic of),0.479,119,
114,South Africa,0.406,93,
115,"Palestine, State of",..,..,
116,Egypt,0.449,108,
117,Marshall Islands,..,..,
117,Viet Nam,0.296,65,
119,Gabon,0.525,128,
120,Kyrgyzstan,0.369,82,
121,Morocco,0.454,111,
122,Guyana,0.462,115,
123,Iraq,0.577,146,
124,El Salvador,0.383,85,
125,Tajikistan,0.314,70,
126,Cabo Verde,0.397,89,
127,Guatemala,0.479,119,
128,Nicaragua,0.428,101,
129,Bhutan,0.421,99,
130,Namibia,0.440,106,
131,India,0.488,123,
132,Honduras,0.423,100,
133,Bangladesh,0.537,133,
134,Kiribati,..,..,
135,Sao Tome and Principe,0.537,133,
136,Micronesia (Federated States of),..,..,
137,Lao People's Democratic Republic,0.459,113,
138,Eswatini (Kingdom of),0.567,143,
138,Ghana,0.538,135,
140,Vanuatu,..,..,
141,Timor-Leste,..,..,
142,Nepal,0.452,110,
143,Kenya,0.518,126,
144,Cambodia,0.474,117,
145,Equatorial Guinea,..,..,
146,Zambia,0.539,137,
147,Myanmar,0.478,118,
148,Angola,0.536,132,
149,Congo,0.570,144,
150,Zimbabwe,0.527,129,
151,Solomon Islands,..,..,
151,Syrian Arab Republic,0.482,122,
153,Cameroon,0.560,141,
154,Pakistan,0.538,135,
155,Papua New Guinea,0.725,161,
156,Comoros,..,..,
157,Mauritania,0.634,151,
158,Benin,0.612,148,
159,Uganda,0.535,131,
160,Rwanda,0.402,92,
161,Nigeria,..,..,
162,Côte d'Ivoire,0.638,153,
163,Tanzania (United Republic of),0.556,140,
164,Madagascar,..,..,
165,Lesotho,0.553,139,
166,Djibouti,..,..,
167,Togo,0.573,145,
168,Senegal,0.533,130,
169,Afghanistan,0.655,157,
170,Haiti,0.636,152,
170,Sudan,0.545,138,
172,Gambia,0.612,148,
173,Ethiopia,0.517,125,
174,Malawi,0.565,142,
175,Congo (Democratic Republic of the),0.617,150,
175,Guinea-Bissau,..,..,
175,Liberia,0.650,156,
178,Guinea,..,..,
179,Yemen,0.795,162,
180,Eritrea,..,..,
181,Mozambique,0.523,127,
182,Burkina Faso,0.594,147,
182,Sierra Leone,0.644,155,
184,Mali,0.671,158,
185,Burundi,0.504,124,
185,South Sudan,..,..,
187,Chad,0.710,160,
188,Central African Republic,0.680,159,
189,Niger,0.642,154,